2023-06-21 11:58:02.1723|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 11:58:10.7621|Info|| "OnCCDEvent_Initialized" "Gain and ADC Added" |function_name=OnCCDEvent_Initialized, message=Gain and ADC Added 
2023-06-21 11:58:39.7469|Info|| "buttonRun_Click" "auto_run() started" |function_name=buttonRun_Click, message=auto_run() started 
2023-06-21 11:58:39.8008|Info|| "auto_run()" "Starting data acquisition" |function_name=auto_run(), message=Starting data acquisition 
2023-06-21 11:58:39.8008|Info|| "auto_run()" "Task0" |function_name=auto_run(), message=Task0 
2023-06-21 11:58:39.8008|Info|| "auto_run()" "Setting devices..." |function_name=auto_run(), message=Setting devices... 
2023-06-21 11:58:39.8008|Info|| "auto_run()" "Setting NDF1 position..." |function_name=auto_run(), message=Setting NDF1 position... 
2023-06-21 11:58:40.3810|Info|| "SetSlit" "0.0877" |function_name=SetSlit, message=0.0877 
2023-06-21 12:00:19.2806|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:01:20.4285|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:01:20.9485|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 12:01:21.0585|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 12:01:21.1085|Info|| "bool connect_devices()" "NDF2 connected" |function_name=bool connect_devices(), message=NDF2 connected 
2023-06-21 12:01:49.9285|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:04:16.1363|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:04:34.7439|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:04:34.8539|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 12:04:34.9639|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 12:04:35.0139|Info|| "bool connect_devices()" "NDF2 connected" |function_name=bool connect_devices(), message=NDF2 connected 
2023-06-21 12:04:45.0249|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:05:15.5370|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:05:17.8526|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 12:05:17.9629|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 12:05:32.0318|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:05:32.1318|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 12:05:32.2418|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 12:05:48.2475|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:05:48.3474|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 12:05:48.4575|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 12:05:48.5274|Info|| "bool connect_devices()" "NDF2 connected" |function_name=bool connect_devices(), message=NDF2 connected 
2023-06-21 12:05:49.9373|Info|| "bool connect_devices()" "PM100A connected" |function_name=bool connect_devices(), message=PM100A connected 
2023-06-21 12:05:50.6669|Info|| "bool connect_devices()" "M9700 connected" |function_name=bool connect_devices(), message=M9700 connected 
2023-06-21 12:05:57.9069|Info|| "InitializeCCD" "CCD Event" |function_name=InitializeCCD, message=CCD Event 
2023-06-21 12:05:57.9069|Info|| "InitializeCCD" "CCD Load" |function_name=InitializeCCD, message=CCD Load 
2023-06-21 12:05:57.9270|Info|| "InitializeCCD" "CCD Open" |function_name=InitializeCCD, message=CCD Open 
2023-06-21 12:05:58.6669|Info|| "InitializeCCD" "CCD Initialize" |function_name=InitializeCCD, message=CCD Initialize 
2023-06-21 12:05:58.7070|Info|| "InitializeCCD" "Load ADC and Gain" |function_name=InitializeCCD, message=Load ADC and Gain 
2023-06-21 12:05:58.7070|Info|| "InitializeCCD" "Complete
" |function_name=InitializeCCD, message=Complete
 
2023-06-21 12:05:58.7070|Info|| "bool connect_devices()" "Mono and CCD connected" |function_name=bool connect_devices(), message=Mono and CCD connected 
2023-06-21 12:05:59.1070|Info|| "OnCCDEvent_Initialized" "Adding Gain and ADC" |function_name=OnCCDEvent_Initialized, message=Adding Gain and ADC 
2023-06-21 12:05:59.1070|Info|| "InitializeGainSelect" "0" |function_name=InitializeGainSelect, message=0 
2023-06-21 12:05:59.1070|Info|| "InitializeADCSelect" "0" |function_name=InitializeADCSelect, message=0 
2023-06-21 12:05:59.1169|Info|| "OnCCDEvent_Initialized" "Gain and ADC Added" |function_name=OnCCDEvent_Initialized, message=Gain and ADC Added 
2023-06-21 12:08:22.2111|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:08:22.2612|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 12:08:22.3711|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 12:08:22.4212|Info|| "bool connect_devices()" "NDF2 connected" |function_name=bool connect_devices(), message=NDF2 connected 
2023-06-21 12:08:47.8963|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:08:48.0063|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 12:08:48.1163|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 12:08:48.1663|Info|| "bool connect_devices()" "NDF2 connected" |function_name=bool connect_devices(), message=NDF2 connected 
2023-06-21 12:09:03.6406|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:09:18.9932|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:09:38.0959|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:09:50.5045|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:09:50.6245|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 12:09:50.7345|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 12:10:50.8161|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:10:50.9261|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 12:10:51.0460|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 12:11:06.8469|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:12:36.1192|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:14:05.2707|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 12:14:05.4007|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 12:14:05.5109|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 12:14:05.5807|Info|| "bool connect_devices()" "NDF2 connected" |function_name=bool connect_devices(), message=NDF2 connected 
2023-06-21 12:14:12.0907|Info|| "bool connect_devices()" "PM100A connected" |function_name=bool connect_devices(), message=PM100A connected 
2023-06-21 12:14:12.6307|Info|| "bool connect_devices()" "M9700 connected" |function_name=bool connect_devices(), message=M9700 connected 
2023-06-21 12:14:18.0606|Info|| "InitializeCCD" "CCD Event" |function_name=InitializeCCD, message=CCD Event 
2023-06-21 12:14:18.0606|Info|| "InitializeCCD" "CCD Load" |function_name=InitializeCCD, message=CCD Load 
2023-06-21 12:14:18.0606|Info|| "InitializeCCD" "CCD Open" |function_name=InitializeCCD, message=CCD Open 
2023-06-21 12:14:18.8706|Info|| "InitializeCCD" "CCD Initialize" |function_name=InitializeCCD, message=CCD Initialize 
2023-06-21 12:14:18.8906|Info|| "InitializeCCD" "Load ADC and Gain" |function_name=InitializeCCD, message=Load ADC and Gain 
2023-06-21 12:14:18.8906|Info|| "InitializeCCD" "Complete
" |function_name=InitializeCCD, message=Complete
 
2023-06-21 12:14:18.8906|Info|| "bool connect_devices()" "Mono and CCD connected" |function_name=bool connect_devices(), message=Mono and CCD connected 
2023-06-21 12:14:19.1706|Info|| "OnCCDEvent_Initialized" "Adding Gain and ADC" |function_name=OnCCDEvent_Initialized, message=Adding Gain and ADC 
2023-06-21 12:14:19.1706|Info|| "InitializeGainSelect" "0" |function_name=InitializeGainSelect, message=0 
2023-06-21 12:14:19.1706|Info|| "InitializeADCSelect" "0" |function_name=InitializeADCSelect, message=0 
2023-06-21 12:14:19.1706|Info|| "OnCCDEvent_Initialized" "Gain and ADC Added" |function_name=OnCCDEvent_Initialized, message=Gain and ADC Added 
2023-06-21 13:49:41.1139|Info|| "buttonRun_Click" "auto_run() started" |function_name=buttonRun_Click, message=auto_run() started 
2023-06-21 13:49:41.1784|Info|| "auto_run()" "Starting data acquisition" |function_name=auto_run(), message=Starting data acquisition 
2023-06-21 13:49:41.1784|Info|| "auto_run()" "Task0" |function_name=auto_run(), message=Task0 
2023-06-21 13:49:41.1784|Info|| "auto_run()" "Setting devices..." |function_name=auto_run(), message=Setting devices... 
2023-06-21 13:49:41.1804|Info|| "auto_run()" "Setting NDF1 position..." |function_name=auto_run(), message=Setting NDF1 position... 
2023-06-21 13:49:41.7612|Info|| "SetSlit" "0.0877" |function_name=SetSlit, message=0.0877 
2023-06-21 13:49:44.3715|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:49:44.9112|Info|| "auto_run()" "Wait for temperature... 1" |function_name=auto_run(), message=Wait for temperature... 1 
2023-06-21 13:49:45.4215|Info|| "auto_run()" "Wait for temperature... 2" |function_name=auto_run(), message=Wait for temperature... 2 
2023-06-21 13:49:45.9314|Info|| "auto_run()" "Wait for temperature... 3" |function_name=auto_run(), message=Wait for temperature... 3 
2023-06-21 13:49:46.4415|Info|| "auto_run()" "Wait for temperature... 4" |function_name=auto_run(), message=Wait for temperature... 4 
2023-06-21 13:49:46.9515|Info|| "auto_run()" "Wait for temperature... 5" |function_name=auto_run(), message=Wait for temperature... 5 
2023-06-21 13:49:47.4614|Info|| "auto_run()" "Wait for temperature... 6" |function_name=auto_run(), message=Wait for temperature... 6 
2023-06-21 13:49:47.9715|Info|| "auto_run()" "Wait for temperature... 7" |function_name=auto_run(), message=Wait for temperature... 7 
2023-06-21 13:49:48.4815|Info|| "auto_run()" "Wait for temperature... 8" |function_name=auto_run(), message=Wait for temperature... 8 
2023-06-21 13:49:48.4815|Info|| "auto_run()" "Getting data..." |function_name=auto_run(), message=Getting data... 
2023-06-21 13:49:48.4815|Info|| "GetData()" "Loop Started" |function_name=GetData(), message=Loop Started 
2023-06-21 13:49:49.0312|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:49.0312|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:49.0312|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:49.0312|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:49.0412|Info|| "auto_run()" "Data taken..." |function_name=auto_run(), message=Data taken... 
2023-06-21 13:49:49.0412|Info|| "auto_run()" "Adding data to DataSet..." |function_name=auto_run(), message=Adding data to DataSet... 
2023-06-21 13:49:49.0412|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:49.0412|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:49.0412|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:49.0412|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:49.0412|Info|| "auto_run()" "Taking N-1 times..." |function_name=auto_run(), message=Taking N-1 times... 
2023-06-21 13:49:49.0412|Info|| "auto_run()" "Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.2794uW_n1_1_n2_1_0.1s_20K_0.1nm.csv" |function_name=auto_run(), message=Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.2794uW_n1_1_n2_1_0.1s_20K_0.1nm.csv 
2023-06-21 13:49:49.0612|Info|| "auto_run()" "Task1" |function_name=auto_run(), message=Task1 
2023-06-21 13:49:49.0612|Info|| "auto_run()" "Setting devices..." |function_name=auto_run(), message=Setting devices... 
2023-06-21 13:49:50.3575|Info|| "auto_run()" "Getting data..." |function_name=auto_run(), message=Getting data... 
2023-06-21 13:49:50.3575|Info|| "GetData()" "Loop Started" |function_name=GetData(), message=Loop Started 
2023-06-21 13:49:50.5974|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:50.5974|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:50.6377|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:50.6377|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:50.6377|Info|| "auto_run()" "Data taken..." |function_name=auto_run(), message=Data taken... 
2023-06-21 13:49:50.6377|Info|| "auto_run()" "Adding data to DataSet..." |function_name=auto_run(), message=Adding data to DataSet... 
2023-06-21 13:49:50.6377|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:50.6377|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:50.6377|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:50.6377|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:50.6377|Info|| "auto_run()" "Taking N-1 times..." |function_name=auto_run(), message=Taking N-1 times... 
2023-06-21 13:49:50.6377|Info|| "auto_run()" "Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.295uW_n1_1_n2_2_0.1s_20K_0.1nm.csv" |function_name=auto_run(), message=Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.295uW_n1_1_n2_2_0.1s_20K_0.1nm.csv 
2023-06-21 13:49:50.6377|Info|| "auto_run()" "Task2" |function_name=auto_run(), message=Task2 
2023-06-21 13:49:50.6377|Info|| "auto_run()" "Setting devices..." |function_name=auto_run(), message=Setting devices... 
2023-06-21 13:49:51.9975|Info|| "auto_run()" "Getting data..." |function_name=auto_run(), message=Getting data... 
2023-06-21 13:49:51.9975|Info|| "GetData()" "Loop Started" |function_name=GetData(), message=Loop Started 
2023-06-21 13:49:52.2375|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:52.2375|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:52.2375|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:52.2375|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:52.2375|Info|| "auto_run()" "Data taken..." |function_name=auto_run(), message=Data taken... 
2023-06-21 13:49:52.2375|Info|| "auto_run()" "Adding data to DataSet..." |function_name=auto_run(), message=Adding data to DataSet... 
2023-06-21 13:49:52.2375|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:52.2375|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:52.2375|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:52.2375|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:52.2375|Info|| "auto_run()" "Taking N-1 times..." |function_name=auto_run(), message=Taking N-1 times... 
2023-06-21 13:49:52.2375|Info|| "auto_run()" "Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.2898uW_n1_1_n2_3_0.1s_20K_0.1nm.csv" |function_name=auto_run(), message=Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.2898uW_n1_1_n2_3_0.1s_20K_0.1nm.csv 
2023-06-21 13:49:52.2474|Info|| "auto_run()" "Task3" |function_name=auto_run(), message=Task3 
2023-06-21 13:49:52.2474|Info|| "auto_run()" "Setting devices..." |function_name=auto_run(), message=Setting devices... 
2023-06-21 13:49:53.5277|Info|| "auto_run()" "Getting data..." |function_name=auto_run(), message=Getting data... 
2023-06-21 13:49:53.5277|Info|| "GetData()" "Loop Started" |function_name=GetData(), message=Loop Started 
2023-06-21 13:49:53.7574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:53.7574|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:53.7574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:53.7574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:53.7574|Info|| "auto_run()" "Data taken..." |function_name=auto_run(), message=Data taken... 
2023-06-21 13:49:53.7574|Info|| "auto_run()" "Adding data to DataSet..." |function_name=auto_run(), message=Adding data to DataSet... 
2023-06-21 13:49:53.7574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:53.7574|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:53.7574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:53.7574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:53.7574|Info|| "auto_run()" "Taking N-1 times..." |function_name=auto_run(), message=Taking N-1 times... 
2023-06-21 13:49:53.7574|Info|| "auto_run()" "Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.3003uW_n1_1_n2_4_0.1s_20K_0.1nm.csv" |function_name=auto_run(), message=Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.3003uW_n1_1_n2_4_0.1s_20K_0.1nm.csv 
2023-06-21 13:49:53.7775|Info|| "auto_run()" "Task4" |function_name=auto_run(), message=Task4 
2023-06-21 13:49:53.7775|Info|| "auto_run()" "Setting devices..." |function_name=auto_run(), message=Setting devices... 
2023-06-21 13:49:55.0777|Info|| "auto_run()" "Getting data..." |function_name=auto_run(), message=Getting data... 
2023-06-21 13:49:55.0777|Info|| "GetData()" "Loop Started" |function_name=GetData(), message=Loop Started 
2023-06-21 13:49:55.3174|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:55.3174|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:55.3174|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:55.3174|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:55.3174|Info|| "auto_run()" "Data taken..." |function_name=auto_run(), message=Data taken... 
2023-06-21 13:49:55.3174|Info|| "auto_run()" "Adding data to DataSet..." |function_name=auto_run(), message=Adding data to DataSet... 
2023-06-21 13:49:55.3174|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:55.3174|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:55.3174|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:55.3174|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:55.3174|Info|| "auto_run()" "Taking N-1 times..." |function_name=auto_run(), message=Taking N-1 times... 
2023-06-21 13:49:55.3174|Info|| "auto_run()" "Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.2173uW_n1_1_n2_5_0.1s_20K_0.1nm.csv" |function_name=auto_run(), message=Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.2173uW_n1_1_n2_5_0.1s_20K_0.1nm.csv 
2023-06-21 13:49:55.3275|Info|| "auto_run()" "Task5" |function_name=auto_run(), message=Task5 
2023-06-21 13:49:55.3275|Info|| "auto_run()" "Setting devices..." |function_name=auto_run(), message=Setting devices... 
2023-06-21 13:49:56.6376|Info|| "auto_run()" "Getting data..." |function_name=auto_run(), message=Getting data... 
2023-06-21 13:49:56.6376|Info|| "GetData()" "Loop Started" |function_name=GetData(), message=Loop Started 
2023-06-21 13:49:56.8474|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:56.8474|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:56.8574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:56.8574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:56.8574|Info|| "auto_run()" "Data taken..." |function_name=auto_run(), message=Data taken... 
2023-06-21 13:49:56.8574|Info|| "auto_run()" "Adding data to DataSet..." |function_name=auto_run(), message=Adding data to DataSet... 
2023-06-21 13:49:56.8574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:56.8574|Info|| "DataAddColumn" "0" |function_name=DataAddColumn, message=0 
2023-06-21 13:49:56.8574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:56.8574|Info|| "DataAddColumn" "1024" |function_name=DataAddColumn, message=1024 
2023-06-21 13:49:56.8574|Info|| "auto_run()" "Taking N-1 times..." |function_name=auto_run(), message=Taking N-1 times... 
2023-06-21 13:49:56.8574|Info|| "auto_run()" "Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.2134uW_n1_1_n2_6_0.1s_20K_0.1nm.csv" |function_name=auto_run(), message=Saving C:\Users\d26009dd\Desktop\TestAuto\Test_15.2134uW_n1_1_n2_6_0.1s_20K_0.1nm.csv 
2023-06-21 13:49:56.8974|Info|| "auto_run()" "Task6" |function_name=auto_run(), message=Task6 
2023-06-21 13:49:56.8974|Info|| "auto_run()" "Setting devices..." |function_name=auto_run(), message=Setting devices... 
2023-06-21 13:50:00.7677|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:03.2877|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:05.8077|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:08.3277|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:10.8477|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:13.3680|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:15.8880|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:18.4085|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:20.9285|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:23.4485|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:25.9685|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:28.4885|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:31.0088|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:33.5287|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:36.0488|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:38.5688|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:41.0887|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:43.6085|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
2023-06-21 13:50:46.1216|Info|| "auto_run()" "Wait for temperature... 0" |function_name=auto_run(), message=Wait for temperature... 0 
